CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
3169201,BROADWAY,LARKIN ST \ ROBERT C LEVY TUNL,POLK ST,1401 - 1499,LARKIN ST \ ROBERT C LEVY TUNL to POLK ST (1401 - 1499) -- SOUTH --,25308000,25315000
3169101,BROADWAY,LARKIN ST \ ROBERT C LEVY TUNL,POLK ST,1400 - 1498,LARKIN ST \ ROBERT C LEVY TUNL to POLK ST (1400 - 1498) -- NORTH --,25308000,25315000
7136000,HYDE ST,GREEN ST,DELGADO PL,1900 - 1917,GREEN ST to DELGADO PL (1900 - 1917),25311000,25538000
6464000,GREEN ST,HYDE ST,EASTMAN ST,1200 - 1267,HYDE ST to EASTMAN ST (1200 - 1267),25311000,25539000
8148000,LARKIN ST,VALLEJO ST,GREEN ST,2100 - 2199,VALLEJO ST to GREEN ST (2100 - 2199),25312000,25314000
13107000,VALLEJO ST,LARKIN ST,POLK ST,1400 - 1499,LARKIN ST to POLK ST (1400 - 1499),25312000,25317000
13106000,VALLEJO ST,WHITE ST,LARKIN ST,1346 - 1399,WHITE ST to LARKIN ST (1346 - 1399),25313000,25312000
13605000,WHITE ST,VALLEJO ST,END: 1-99 BLOCK,Jan-99,VALLEJO ST to END: 1-99 BLOCK (1 - 99),25313000,50198000
8149000,LARKIN ST,GREEN ST,ROCKLAND ST,2200 - 2249,GREEN ST to ROCKLAND ST (2200 - 2249),25314000,25559000
6466000,GREEN ST,LARKIN ST,POLK ST,1300 - 1399,LARKIN ST to POLK ST (1300 - 1399),25314000,25562000
10576000,POLK ST,BROADWAY,VALLEJO ST,2100 - 2199,BROADWAY to VALLEJO ST (2100 - 2199),25315000,25317000
3170000,BROADWAY,POLK ST,VAN NESS AVE,1500 - 1599,POLK ST to VAN NESS AVE (1500 - 1599),25315000,26547000
10147000,PACIFIC AVE,POLK ST,VAN NESS AVE,1600 - 1699,POLK ST to VAN NESS AVE (1600 - 1699),25316000,26548000
10575000,POLK ST,PACIFIC AVE,BROADWAY,2000 - 2099,PACIFIC AVE to BROADWAY (2000 - 2099),25316000,25315000
13108000,VALLEJO ST,POLK ST,VAN NESS AVE,1500 - 1599,POLK ST to VAN NESS AVE (1500 - 1599),25317000,26552000
10577000,POLK ST,VALLEJO ST,BONITA ST,2200 - 2240,VALLEJO ST to BONITA ST (2200 - 2240),25317000,25318000
3010000,BONITA ST,POLK ST,END: 1-99 BLOCK,Jan-99,POLK ST to END: 1-99 BLOCK (1 - 99),25318000,50377000
10578000,POLK ST,BONITA ST,GREEN ST,2231 - 2299,BONITA ST to GREEN ST (2231 - 2299),25318000,25562000
11137000,ROMOLO ST,BROADWAY,FRESNO ST,Jan-65,BROADWAY to FRESNO ST (1 - 65),25319000,25320000
3152000,BROADWAY,ROMOLO ST,COLUMBUS AVE,537 - 558,ROMOLO ST to COLUMBUS AVE (537 - 558),25319000,25321000
5866000,FRESNO ST,ROMOLO ST,GRANT AVE,50 - 99,ROMOLO ST to GRANT AVE (50 - 99),25320000,25331000
11138000,ROMOLO ST,FRESNO ST,POLLARD PL \ VALLEJO ST,66 - 99,FRESNO ST to POLLARD PL \ VALLEJO ST (66 - 99),25320000,25323000
4292000,COLUMBUS AVE,BROADWAY,GRANT AVE,300 - 330,BROADWAY to GRANT AVE (300 - 330),25321000,25330000
3153000,BROADWAY,COLUMBUS AVE,GRANT AVE,555 - 599,COLUMBUS AVE to GRANT AVE (555 - 599),25321000,25060000
8689000,MARGRAVE PL,VALLEJO ST,END: 1-99 BLOCK,Jan-99,VALLEJO ST to END: 1-99 BLOCK (1 - 99),25322000,50143000
13091000,VALLEJO ST,MARGRAVE PL,GRANT AVE,576 - 599,MARGRAVE PL to GRANT AVE (576 - 599),25322000,25325000
10588000,POLLARD PL,ROMOLO ST \ VALLEJO ST,END: 1-99 BLOCK,Jan-99,ROMOLO ST \ VALLEJO ST to END: 1-99 BLOCK (1 - 99),25323000,50144000
13090000,VALLEJO ST,POLLARD PL \ ROMOLO ST,MARGRAVE PL,552 - 579,POLLARD PL \ ROMOLO ST to MARGRAVE PL (552 - 579),25323000,25322000
6403000,GRANT AVE,VALLEJO ST,GREEN ST,1300 - 1399,VALLEJO ST to GREEN ST (1300 - 1399),25325000,25326000
13092000,VALLEJO ST,GRANT AVE,COLUMBUS AVE,600 - 636,GRANT AVE to COLUMBUS AVE (600 - 636),25325000,25332000
6404000,GRANT AVE,GREEN ST,UNION ST,1400 - 1499,GREEN ST to UNION ST (1400 - 1499),25326000,25343000
6451000,GREEN ST,GRANT AVE,BANNAN PL,500 - 515,GRANT AVE to BANNAN PL (500 - 515),25326000,25336000
13178000,VARENNES ST,GREEN ST,UNION ST,Jan-99,GREEN ST to UNION ST (1 - 99),25327000,25342000
6450000,GREEN ST,VARENNES ST,GRANT AVE,446 - 499,VARENNES ST to GRANT AVE (446 - 499),25327000,25326000
6449000,GREEN ST,SONOMA ST,VARENNES ST,421 - 451,SONOMA ST to VARENNES ST (421 - 451),25328000,25327000
11976000,SONOMA ST,GREEN ST,UNION ST,Jan-99,GREEN ST to UNION ST (1 - 99),25328000,28180000
6401000,GRANT AVE,COLUMBUS AVE,FRESNO ST,1200 - 1249,COLUMBUS AVE to FRESNO ST (1200 - 1249),25330000,25331000
4293000,COLUMBUS AVE,GRANT AVE,VALLEJO ST,303 - 399,GRANT AVE to VALLEJO ST (303 - 399),25330000,25332000
6402000,GRANT AVE,FRESNO ST,VALLEJO ST,1232 - 1299,FRESNO ST to VALLEJO ST (1232 - 1299),25331000,25325000
13093000,VALLEJO ST,COLUMBUS AVE,KENNETH REXROTH PL,621 - 638,COLUMBUS AVE to KENNETH REXROTH PL (621 - 638),25332000,25333000
4294000,COLUMBUS AVE,VALLEJO ST,GREEN ST \ STOCKTON ST,400 - 499,VALLEJO ST to GREEN ST \ STOCKTON ST (400 - 499),25332000,25352000
13094000,VALLEJO ST,KENNETH REXROTH PL,STOCKTON ST,623 - 699,KENNETH REXROTH PL to STOCKTON ST (623 - 699),25333000,25335000
