CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
12799000,ULLOA ST,22ND AVE,23RD AVE,2100 - 2199,22ND AVE to 23RD AVE (2100 - 2199),23177000,23232000
1152000,22ND AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23177000,23174000
12392000,TARAVAL ST,16TH AVE,17TH AVE,600 - 699,16TH AVE to 17TH AVE (600 - 699),23178000,23179000
693000,16TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23178000,23155000
12393000,TARAVAL ST,17TH AVE,18TH AVE,700 - 799,17TH AVE to 18TH AVE (700 - 799),23179000,23182000
769000,17TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23179000,23156000
692000,16TH AVE,CECILIA AVE,TARAVAL ST,2365 - 2399,CECILIA AVE to TARAVAL ST (2365 - 2399),23180000,23178000
691000,16TH AVE,SANTIAGO ST,CECILIA AVE,2300 - 2366,SANTIAGO ST to CECILIA AVE (2300 - 2366),23181000,23180000
11608000,SANTIAGO ST,16TH AVE,17TH AVE,500 - 599,16TH AVE to 17TH AVE (500 - 599),23181000,23184000
12394000,TARAVAL ST,18TH AVE,19TH AVE,800 - 899,18TH AVE to 19TH AVE (800 - 899),23182000,23183000
846000,18TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23182000,23160000
12395000,TARAVAL ST,19TH AVE,20TH AVE,900 - 999,19TH AVE to 20TH AVE (900 - 999),23183000,23195000
921201,19TH AVE,TARAVAL ST,ULLOA ST,2401 - 2499,TARAVAL ST to ULLOA ST (2401 - 2499) -- WEST --,23183000,23161000
921101,19TH AVE,TARAVAL ST,ULLOA ST,2400 - 2498,TARAVAL ST to ULLOA ST (2400 - 2498) -- EAST --,23183000,23161000
11609000,SANTIAGO ST,17TH AVE,18TH AVE,600 - 699,17TH AVE to 18TH AVE (600 - 699),23184000,23185000
768000,17TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23184000,23179000
11610000,SANTIAGO ST,18TH AVE,19TH AVE,700 - 799,18TH AVE to 19TH AVE (700 - 799),23185000,23196000
845000,18TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23185000,23182000
11607000,SANTIAGO ST,CECILIA AVE,16TH AVE,450 - 499,CECILIA AVE to 16TH AVE (450 - 499),23186000,23181000
3854000,CECILIA AVE,SANTIAGO ST,16TH AVE,2300 - 2399,SANTIAGO ST to 16TH AVE (2300 - 2399),23186000,23180000
11050000,RIVERA ST,CECILIA AVE,16TH AVE,520 - 599,CECILIA AVE to 16TH AVE (520 - 599),23187000,23188000
3853000,CECILIA AVE,RIVERA ST,SANTIAGO ST,2100 - 2299,RIVERA ST to SANTIAGO ST (2100 - 2299),23187000,23186000
11051000,RIVERA ST,16TH AVE,17TH AVE,600 - 699,16TH AVE to 17TH AVE (600 - 699),23188000,23191000
690000,16TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23188000,23181000
10851000,QUINTARA ST,15TH AVE \ FANNING WAY,16TH AVE,600 - 699,15TH AVE \ FANNING WAY to 16TH AVE (600 - 699),23189000,23190000
625000,15TH AVE,FANNING WAY \ QUINTARA ST,RIVERA ST,2100 - 2199,FANNING WAY \ QUINTARA ST to RIVERA ST (2100 - 2199),23189000,23003000
10852000,QUINTARA ST,16TH AVE,17TH AVE,700 - 799,16TH AVE to 17TH AVE (700 - 799),23190000,23193000
689000,16TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23190000,23188000
11052000,RIVERA ST,17TH AVE,18TH AVE,700 - 799,17TH AVE to 18TH AVE (700 - 799),23191000,23192000
767000,17TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23191000,23184000
11053000,RIVERA ST,18TH AVE,19TH AVE,800 - 899,18TH AVE to 19TH AVE (800 - 899),23192000,23202000
844000,18TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23192000,23185000
10853000,QUINTARA ST,17TH AVE,18TH AVE,800 - 899,17TH AVE to 18TH AVE (800 - 899),23193000,23194000
766000,17TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23193000,23191000
10854000,QUINTARA ST,18TH AVE,19TH AVE,900 - 999,18TH AVE to 19TH AVE (900 - 999),23194000,23204000
843000,18TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23194000,23192000
12396000,TARAVAL ST,20TH AVE,21ST AVE,1000 - 1099,20TH AVE to 21ST AVE (1000 - 1099),23195000,23198000
1017000,20TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23195000,23171000
920101,19TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2398,SANTIAGO ST to TARAVAL ST (2300 - 2398) -- EAST --,23196000,23183000
11611000,SANTIAGO ST,19TH AVE,20TH AVE,800 - 899,19TH AVE to 20TH AVE (800 - 899),23196000,23197000
920201,19TH AVE,SANTIAGO ST,TARAVAL ST,2301 - 2399,SANTIAGO ST to TARAVAL ST (2301 - 2399) -- WEST --,23196000,23183000
11612000,SANTIAGO ST,20TH AVE,21ST AVE,900 - 999,20TH AVE to 21ST AVE (900 - 999),23197000,23200000
1016000,20TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23197000,23195000
12397000,TARAVAL ST,21ST AVE,22ND AVE,1100 - 1199,21ST AVE to 22ND AVE (1100 - 1199),23198000,23199000
1091000,21ST AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23198000,23172000
12398000,TARAVAL ST,22ND AVE,23RD AVE,1200 - 1299,22ND AVE to 23RD AVE (1200 - 1299),23199000,23260000
1151000,22ND AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23199000,23177000
11613000,SANTIAGO ST,21ST AVE,22ND AVE,1000 - 1099,21ST AVE to 22ND AVE (1000 - 1099),23200000,23201000
1090000,21ST AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23200000,23198000
11614000,SANTIAGO ST,22ND AVE,24TH AVE,1100 - 1299,22ND AVE to 24TH AVE (1100 - 1299),23201000,23262000
1150000,22ND AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23201000,23199000
11054000,RIVERA ST,19TH AVE,20TH AVE,900 - 999,19TH AVE to 20TH AVE (900 - 999),23202000,23203000
919101,19TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2298,RIVERA ST to SANTIAGO ST (2200 - 2298) -- EAST --,23202000,23196000
919201,19TH AVE,RIVERA ST,SANTIAGO ST,2201 - 2299,RIVERA ST to SANTIAGO ST (2201 - 2299) -- WEST --,23202000,23196000
11055000,RIVERA ST,20TH AVE,21ST AVE,1000 - 1099,20TH AVE to 21ST AVE (1000 - 1099),23203000,23208000
1015000,20TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23203000,23197000
918101,19TH AVE,QUINTARA ST,RIVERA ST,2100 - 2198,QUINTARA ST to RIVERA ST (2100 - 2198) -- EAST --,23204000,23202000
10855000,QUINTARA ST,19TH AVE,20TH AVE,1000 - 1099,19TH AVE to 20TH AVE (1000 - 1099),23204000,23206000
918201,19TH AVE,QUINTARA ST,RIVERA ST,2101 - 2199,QUINTARA ST to RIVERA ST (2101 - 2199) -- WEST --,23204000,23202000
10095000,PACHECO ST,19TH AVE,20TH AVE,1500 - 1599,19TH AVE to 20TH AVE (1500 - 1599),23205000,23207000
917101,19TH AVE,PACHECO ST,QUINTARA ST,2000 - 2098,PACHECO ST to QUINTARA ST (2000 - 2098) -- EAST --,23205000,23204000
917201,19TH AVE,PACHECO ST,QUINTARA ST,2001 - 2099,PACHECO ST to QUINTARA ST (2001 - 2099) -- WEST --,23205000,23204000
10856000,QUINTARA ST,20TH AVE,21ST AVE,1100 - 1199,20TH AVE to 21ST AVE (1100 - 1199),23206000,23211000
1014000,20TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23206000,23203000
10096000,PACHECO ST,20TH AVE,21ST AVE,1600 - 1699,20TH AVE to 21ST AVE (1600 - 1699),23207000,23212000
1013000,20TH AVE,PACHECO ST,QUINTARA ST,2000 - 2099,PACHECO ST to QUINTARA ST (2000 - 2099),23207000,23206000
11056000,RIVERA ST,21ST AVE,22ND AVE,1100 - 1199,21ST AVE to 22ND AVE (1100 - 1199),23208000,23209000
1089000,21ST AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23208000,23200000
1149000,22ND AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23209000,23201000
10858000,QUINTARA ST,22ND AVE,23RD AVE,1300 - 1399,22ND AVE to 23RD AVE (1300 - 1399),23210000,23270000
1148000,22ND AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23210000,23209000
10857000,QUINTARA ST,21ST AVE,22ND AVE,1200 - 1299,21ST AVE to 22ND AVE (1200 - 1299),23211000,23210000
1088000,21ST AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23211000,23208000
10097000,PACHECO ST,21ST AVE,22ND AVE,1700 - 1799,21ST AVE to 22ND AVE (1700 - 1799),23212000,23213000
1087000,21ST AVE,PACHECO ST,QUINTARA ST,2000 - 2099,PACHECO ST to QUINTARA ST (2000 - 2099),23212000,23211000
10098000,PACHECO ST,22ND AVE,23RD AVE,1800 - 1899,22ND AVE to 23RD AVE (1800 - 1899),23213000,23271000
1147000,22ND AVE,PACHECO ST,QUINTARA ST,2000 - 2099,PACHECO ST to QUINTARA ST (2000 - 2099),23213000,23210000
11953102,SLOAT BLVD,24TH AVE,25TH AVE,801 - 899,24TH AVE to 25TH AVE (801 - 899) -- SOUTH --,23214000,23215000
1313000,24TH AVE,SLOAT BLVD,OCEAN AVE,2900 - 2999,SLOAT BLVD to OCEAN AVE (2900 - 2999),23214000,23119000
11953103,SLOAT BLVD,25TH AVE,26TH AVE,901 - 999,25TH AVE to 26TH AVE (901 - 999) -- SOUTH --,23215000,23219000
1395000,25TH AVE,SLOAT BLVD,OCEAN AVE,2900 - 2999,SLOAT BLVD to OCEAN AVE (2900 - 2999),23215000,23121000
11953202,SLOAT BLVD,GABILAN WAY,26TH AVE,900 - 998,GABILAN WAY to 26TH AVE (900 - 998) -- NORTH --,23217000,23219000
5979000,GABILAN WAY,CRESTLAKE DR,SLOAT BLVD,Jan-99,CRESTLAKE DR to SLOAT BLVD (1 - 99),23218000,23217000
4515000,CRESTLAKE DR,GABILAN WAY,PARAISO PL,57 - 99,GABILAN WAY to PARAISO PL (57 - 99),23218000,23225000
11954101,SLOAT BLVD,26TH AVE,INVERNESS DR,1001 - 1099,26TH AVE to INVERNESS DR (1001 - 1099) -- SOUTH --,23219000,23222000
1490000,26TH AVE,SLOAT BLVD,OCEAN AVE,2900 - 2999,SLOAT BLVD to OCEAN AVE (2900 - 2999),23219000,23123000
11954201,SLOAT BLVD,26TH AVE,PARAISO PL,0 - 0,26TH AVE to PARAISO PL (0 - 0) -- NORTH --,23219000,23220000
11954202,SLOAT BLVD,PARAISO PL,GOLETA AVE,1000 - 1098,PARAISO PL to GOLETA AVE (1000 - 1098) -- NORTH --,23220000,23224000
9859000,OCEAN AVE,INVERNESS DR,FOREST VIEW DR,3500 - 3599,INVERNESS DR to FOREST VIEW DR (3500 - 3599),23221000,23128000
7266000,INVERNESS DR,OCEAN AVE,EUCALYPTUS DR,100 - 199,OCEAN AVE to EUCALYPTUS DR (100 - 199),23221000,23124000
11954102,SLOAT BLVD,INVERNESS DR,FOREST VIEW DR,1101 - 1199,INVERNESS DR to FOREST VIEW DR (1101 - 1199) -- SOUTH --,23222000,23223000
7265000,INVERNESS DR,SLOAT BLVD,OCEAN AVE,Jan-99,SLOAT BLVD to OCEAN AVE (1 - 99),23222000,23221000
5736000,FOREST VIEW DR,SLOAT BLVD,OCEAN AVE,Jan-99,SLOAT BLVD to OCEAN AVE (1 - 99),23223000,23128000
11955101,SLOAT BLVD,FOREST VIEW DR,MEADOWBROOK DR,1201 - 1233,FOREST VIEW DR to MEADOWBROOK DR (1201 - 1233) -- SOUTH --,23223000,23130000
11955201,SLOAT BLVD,FOREST VIEW DR,VALE AVE,1150 - 1198,FOREST VIEW DR to VALE AVE (1150 - 1198) -- NORTH --,23223000,23241000
11954203,SLOAT BLVD,GOLETA AVE,FOREST VIEW DR,1100 - 1148,GOLETA AVE to FOREST VIEW DR (1100 - 1148) -- NORTH --,23224000,23223000
10248000,PARAISO PL,CRESTLAKE DR,SLOAT BLVD,100 - 199,CRESTLAKE DR to SLOAT BLVD (100 - 199),23225000,23220000
4516000,CRESTLAKE DR,PARAISO PL,GOLETA AVE,100 - 149,PARAISO PL to GOLETA AVE (100 - 149),23225000,23226000
6292000,GOLETA AVE,CRESTLAKE DR,SLOAT BLVD,Jan-99,CRESTLAKE DR to SLOAT BLVD (1 - 99),23226000,23224000
4517000,CRESTLAKE DR,GOLETA AVE,VALE AVE,150 - 199,GOLETA AVE to VALE AVE (150 - 199),23226000,23234000
13480000,WAWONA ST,24TH AVE,25TH AVE,1300 - 1399,24TH AVE to 25TH AVE (1300 - 1399),23227000,32889000
13250000,VICENTE ST,24TH AVE,25TH AVE,1300 - 1399,24TH AVE to 25TH AVE (1300 - 1399),23228000,23236000
1312000,24TH AVE,VICENTE ST,WAWONA ST,2600 - 2699,VICENTE ST to WAWONA ST (2600 - 2699),23228000,23227000
13483000,WAWONA ST,28TH AVE,30TH AVE,1700 - 1899,28TH AVE to 30TH AVE (1700 - 1899),23229000,23254000
11156000,ROSEMARY CT,25TH AVE,END: 1-99 BLOCK,Jan-99,25TH AVE to END: 1-99 BLOCK (1 - 99),23230000,50567000
1394000,25TH AVE,ROSEMARY CT,WAWONA ST,2664 - 2699,ROSEMARY CT to WAWONA ST (2664 - 2699),23230000,32889000
12800000,ULLOA ST,23RD AVE,24TH AVE,2200 - 2299,23RD AVE to 24TH AVE (2200 - 2299),23232000,23233000
1228000,23RD AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23232000,23176000
12801000,ULLOA ST,24TH AVE,25TH AVE,2300 - 2399,24TH AVE to 25TH AVE (2300 - 2399),23233000,23239000
1311000,24TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23233000,23228000
13051000,VALE AVE,CRESTLAKE DR,SLOAT BLVD,100 - 199,CRESTLAKE DR to SLOAT BLVD (100 - 199),23234000,23241000
4518000,CRESTLAKE DR,VALE AVE,PALOS PL,200 - 245,VALE AVE to PALOS PL (200 - 245),23234000,23242000
13251000,VICENTE ST,25TH AVE,26TH AVE,1400 - 1499,25TH AVE to 26TH AVE (1400 - 1499),23236000,23237000
1393000,25TH AVE,VICENTE ST,ROSEMARY CT,2600 - 2667,VICENTE ST to ROSEMARY CT (2600 - 2667),23236000,23230000
13252000,VICENTE ST,26TH AVE,27TH AVE,1500 - 1599,26TH AVE to 27TH AVE (1500 - 1599),23237000,23251000
1489000,26TH AVE,VICENTE ST,END: 2600-2699 BLOCK,2600 - 2699,VICENTE ST to END: 2600-2699 BLOCK (2600 - 2699),23237000,50566000
12802000,ULLOA ST,25TH AVE,26TH AVE,2400 - 2499,25TH AVE to 26TH AVE (2400 - 2499),23239000,23240000
1392000,25TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23239000,23236000
12803000,ULLOA ST,26TH AVE,27TH AVE,2500 - 2599,26TH AVE to 27TH AVE (2500 - 2599),23240000,23252000
1488000,26TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23240000,23237000
11955202,SLOAT BLVD,VALE AVE,PALOS PL,1200 - 1248,VALE AVE to PALOS PL (1200 - 1248) -- NORTH --,23241000,23243000
10213000,PALOS PL,CRESTLAKE DR,SLOAT BLVD,Jan-99,CRESTLAKE DR to SLOAT BLVD (1 - 99),23242000,23243000
4519000,CRESTLAKE DR,PALOS PL,EL MIRASOL PL,232 - 299,PALOS PL to EL MIRASOL PL (232 - 299),23242000,23247000
11955203,SLOAT BLVD,PALOS PL,EL MIRASOL PL,1250 - 1298,PALOS PL to EL MIRASOL PL (1250 - 1298) -- NORTH --,23243000,23245000
12364000,SYLVAN DR,SLOAT BLVD,OCEAN AVE,Jan-99,SLOAT BLVD to OCEAN AVE (1 - 99),23244000,23132000
11955103,SLOAT BLVD,SYLVAN DR,EL MIRASOL PL,1261 - 1285,SYLVAN DR to EL MIRASOL PL (1261 - 1285) -- SOUTH --,23244000,23245000
11956101,SLOAT BLVD,EL MIRASOL PL,MIDDLEFIELD DR,1287 - 1299,EL MIRASOL PL to MIDDLEFIELD DR (1287 - 1299) -- SOUTH --,23245000,23137000
11956201,SLOAT BLVD,EL MIRASOL PL,CONSTANSO WAY \ EVERGLADE DR,1300 - 1498,EL MIRASOL PL to CONSTANSO WAY \ EVERGLADE DR (1300 - 1498) -- NORTH --,23245000,23335000
11956103,SLOAT BLVD,RIVERTON DR,SPRINGFIELD DR,1401 - 1449,RIVERTON DR to SPRINGFIELD DR (1401 - 1449) -- SOUTH --,23246000,23334000
11083000,RIVERTON DR,SLOAT BLVD,EMERALD LN,Jan-33,SLOAT BLVD to EMERALD LN (1 - 33),23246000,33507000
5214101,EL MIRASOL PL,CRESTLAKE DR,SLOAT BLVD,Feb-98,CRESTLAKE DR to SLOAT BLVD (2 - 98) -- EAST --,23247000,23245000
5214201,EL MIRASOL PL,CRESTLAKE DR,SLOAT BLVD,Jan-99,CRESTLAKE DR to SLOAT BLVD (1 - 99) -- WEST --,23247000,23245000
4520000,CRESTLAKE DR,EL MIRASOL PL,CONSTANSO WAY,282 - 399,EL MIRASOL PL to CONSTANSO WAY (282 - 399),23247000,23248000
4360000,CONSTANSO WAY,CRESTLAKE DR,ESCONDIDO AVE,Jan-49,CRESTLAKE DR to ESCONDIDO AVE (1 - 49),23248000,23336000
4521000,CRESTLAKE DR,CONSTANSO WAY,YORBA ST,400 - 499,CONSTANSO WAY to YORBA ST (400 - 499),23248000,23341000
13254000,VICENTE ST,28TH AVE,29TH AVE,1700 - 1801,28TH AVE to 29TH AVE (1700 - 1801),23250000,23257000
1597000,28TH AVE,VICENTE ST,28TH AVE,2600 - 2649,VICENTE ST to 28TH AVE (2600 - 2649),23250000,51508000
13253000,VICENTE ST,27TH AVE,28TH AVE,1600 - 1699,27TH AVE to 28TH AVE (1600 - 1699),23251000,23250000
12804000,ULLOA ST,27TH AVE,28TH AVE,2600 - 2699,27TH AVE to 28TH AVE (2600 - 2699),23252000,23253000
1562000,27TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23252000,23251000
12805000,ULLOA ST,28TH AVE,29TH AVE,2700 - 2799,28TH AVE to 29TH AVE (2700 - 2799),23253000,23258000
1596000,28TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23253000,23250000
13484000,WAWONA ST,30TH AVE,ESCOLTA WAY,1900 - 2148,30TH AVE to ESCOLTA WAY (1900 - 2148),23254000,23343000
5245000,ESCOLTA WAY,30TH AVE,31ST AVE,1 - 107,30TH AVE to 31ST AVE (1 - 107),23255000,23344000
1663000,30TH AVE,ESCOLTA WAY,WAWONA ST,2676 - 2699,ESCOLTA WAY to WAWONA ST (2676 - 2699),23255000,23254000
13256000,VICENTE ST,30TH AVE,31ST AVE,1900 - 1999,30TH AVE to 31ST AVE (1900 - 1999),23256000,23345000
1662000,30TH AVE,VICENTE ST,ESCOLTA WAY,2600 - 2675,VICENTE ST to ESCOLTA WAY (2600 - 2675),23256000,23255000
13255000,VICENTE ST,29TH AVE,30TH AVE,1800 - 1899,29TH AVE to 30TH AVE (1800 - 1899),23257000,23256000
12806000,ULLOA ST,29TH AVE,30TH AVE,2800 - 2899,29TH AVE to 30TH AVE (2800 - 2899),23258000,23259000
1627000,29TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23258000,23257000
12807000,ULLOA ST,30TH AVE,31ST AVE,2900 - 2999,30TH AVE to 31ST AVE (2900 - 2999),23259000,23346000
1661000,30TH AVE,ULLOA ST,VICENTE ST,2500 - 2599,ULLOA ST to VICENTE ST (2500 - 2599),23259000,23256000
12399000,TARAVAL ST,23RD AVE,24TH AVE,1300 - 1399,23RD AVE to 24TH AVE (1300 - 1399),23260000,23261000
1227000,23RD AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23260000,23232000
1310000,24TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23261000,23233000
12400000,TARAVAL ST,24TH AVE,25TH AVE,1400 - 1499,24TH AVE to 25TH AVE (1400 - 1499),23261000,23263000
11615000,SANTIAGO ST,24TH AVE,25TH AVE,1300 - 1399,24TH AVE to 25TH AVE (1300 - 1399),23262000,23265000
1309000,24TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23262000,23261000
12401000,TARAVAL ST,25TH AVE,26TH AVE,1500 - 1599,25TH AVE to 26TH AVE (1500 - 1599),23263000,23264000
1391000,25TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23263000,23239000
12402000,TARAVAL ST,26TH AVE,27TH AVE,1600 - 1699,26TH AVE to 27TH AVE (1600 - 1699),23264000,23276000
1487000,26TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23264000,23240000
1390000,25TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23265000,23263000
11616000,SANTIAGO ST,25TH AVE,26TH AVE,1400 - 1499,25TH AVE to 26TH AVE (1400 - 1499),23265000,23266000
11617000,SANTIAGO ST,26TH AVE,27TH AVE,1500 - 1599,26TH AVE to 27TH AVE (1500 - 1599),23266000,23278000
1486000,26TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23266000,23264000
11059000,RIVERA ST,26TH AVE,27TH AVE,1600 - 1699,26TH AVE to 27TH AVE (1600 - 1699),23267000,23279000
1485000,26TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23267000,23266000
1308000,24TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23268000,23262000
11057000,RIVERA ST,24TH AVE,25TH AVE,1400 - 1499,24TH AVE to 25TH AVE (1400 - 1499),23268000,23273000
1307000,24TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23269000,23268000
10860000,QUINTARA ST,24TH AVE,25TH AVE,1500 - 1599,24TH AVE to 25TH AVE (1500 - 1599),23269000,23274000
10859000,QUINTARA ST,23RD AVE,24TH AVE,1400 - 1499,23RD AVE to 24TH AVE (1400 - 1499),23270000,23269000
10099000,PACHECO ST,23RD AVE,24TH AVE,1900 - 1999,23RD AVE to 24TH AVE (1900 - 1999),23271000,23272000
1226000,23RD AVE,PACHECO ST,QUINTARA ST,2000 - 2099,PACHECO ST to QUINTARA ST (2000 - 2099),23271000,23270000
1306000,24TH AVE,PACHECO ST,QUINTARA ST,2000 - 2099,PACHECO ST to QUINTARA ST (2000 - 2099),23272000,23269000
11058000,RIVERA ST,25TH AVE,26TH AVE,1500 - 1599,25TH AVE to 26TH AVE (1500 - 1599),23273000,23267000
1389000,25TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23273000,23265000
10861000,QUINTARA ST,25TH AVE,26TH AVE,1600 - 1699,25TH AVE to 26TH AVE (1600 - 1699),23274000,23275000
1388000,25TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23274000,23273000
10862000,QUINTARA ST,26TH AVE,27TH AVE,1700 - 1799,26TH AVE to 27TH AVE (1700 - 1799),23275000,23288000
1484000,26TH AVE,QUINTARA ST,RIVERA ST,2100 - 2199,QUINTARA ST to RIVERA ST (2100 - 2199),23275000,23267000
12403000,TARAVAL ST,27TH AVE,28TH AVE,1700 - 1799,27TH AVE to 28TH AVE (1700 - 1799),23276000,23277000
1561000,27TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23276000,23252000
12404000,TARAVAL ST,28TH AVE,29TH AVE,1800 - 1899,28TH AVE to 29TH AVE (1800 - 1899),23277000,23282000
1595000,28TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23277000,23253000
11618000,SANTIAGO ST,27TH AVE,28TH AVE,1600 - 1699,27TH AVE to 28TH AVE (1600 - 1699),23278000,23280000
1560000,27TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23278000,23276000
11060000,RIVERA ST,27TH AVE,28TH AVE,1700 - 1799,27TH AVE to 28TH AVE (1700 - 1799),23279000,23281000
1559000,27TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23279000,23278000
11619000,SANTIAGO ST,28TH AVE,29TH AVE,1700 - 1799,28TH AVE to 29TH AVE (1700 - 1799),23280000,23285000
1594000,28TH AVE,SANTIAGO ST,TARAVAL ST,2300 - 2399,SANTIAGO ST to TARAVAL ST (2300 - 2399),23280000,23277000
11061000,RIVERA ST,28TH AVE,29TH AVE,1800 - 1899,28TH AVE to 29TH AVE (1800 - 1899),23281000,23286000
1593000,28TH AVE,RIVERA ST,SANTIAGO ST,2200 - 2299,RIVERA ST to SANTIAGO ST (2200 - 2299),23281000,23280000
12405000,TARAVAL ST,29TH AVE,30TH AVE,1900 - 1999,29TH AVE to 30TH AVE (1900 - 1999),23282000,23283000
1626000,29TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23282000,23258000
12406000,TARAVAL ST,30TH AVE,31ST AVE,2000 - 2099,30TH AVE to 31ST AVE (2000 - 2099),23283000,23387000
1660000,30TH AVE,TARAVAL ST,ULLOA ST,2400 - 2499,TARAVAL ST to ULLOA ST (2400 - 2499),23283000,23259000
11621000,SANTIAGO ST,30TH AVE,31ST AVE,1900 - 1999,30TH AVE to 31ST AVE (1900 - 1999),23284000,23388000
