CNN,street1,street2,street3,street4,street5
35158000,GEORGIA LN,23RD ST,,,
35159000,ARKANSAS ST,25TH ST,,,
35160000,ARKANSAS ST,26TH ST,,,
50000000,BEALE ST,END: 500-501 BLOCK,,,
50001000,PERRY ST,START: 1-99 BLOCK,,,
50002000,GILBERT ST,END: 100-199 BLOCK,,,
50003000,LANGTON ST,END: 200-299 BLOCK,,,
50004000,DECATUR ST,END: 1-99 BLOCK,,,
50005000,KATE ST,END: 1-99 BLOCK,,,
50006000,HARRIET ST,END: 400-499 BLOCK,,,
50007000,LUCERNE ST,END: 1-99 BLOCK,,,
50008000,BUTTE PL,END: 1-99 BLOCK,,,
50009000,MORRIS ST,END: 100-199 BLOCK,,,
50010000,FREELON ST,END: 100-199 BLOCK,,,
50011000,WELSH ST,END: 100-149 BLOCK,,,
50012000,WELSH ST,START: 150-199 BLOCK,,,
50013000,MERLIN ST,END: 1-99 BLOCK,,,
50014000,MCLEA CT,START: 1-99 BLOCK,,,
50015000,CONVERSE ST,START: 1-99 BLOCK,,,
50016000,GORDON ST,START: 1-99 BLOCK,,,
50017000,HOMER ST,END: 1-99 BLOCK,,,
50018000,HALLAM ST,END: 47-99 BLOCK,,,
50019000,DECKER ALY,START: 1-99 BLOCK,,,
50020000,BERWICK PL,START: 1-39 BLOCK,,,
50021000,RODGERS ST,END: 1-99 BLOCK,,,
50022000,BRUSH PL,END: 1-99 BLOCK,,,
50023000,JULIA ST,END: 50-99 BLOCK,,,
50024000,JESSIE ST,END: 500-599 BLOCK,,,
50027000,STEVENSON ST,END: 200-249 BLOCK,,,
50028000,STEVENSON ST,START: 700-709 BLOCK,,,
50029000,STERLING ST,I-80 E ON RAMP,,,
50030000,DE BOOM ST,END: 1-99 BLOCK,,,
50031000,FEDERAL ST,END: 97-51 BLOCK,,,
50032000,RINCON ST,START: 1-99 BLOCK,,,
50033000,FEDERAL ST,END: 50-90 BLOCK,,,
50034000,1ST ST,END: 400-450 BLOCK,,,
50035000,GROTE PL,END: 1-99 BLOCK,,,
50036000,DOW PL,END: 1-99 BLOCK,,,
50039000,KAPLAN LN,END: 1-99 BLOCK,,,
50040000,TEHAMA ST,END: 100-128 BLOCK,,,
50041000,NATOMA ST,END: 133-199 BLOCK,,,
50043000,STEVENSON ST,START: 250-299 BLOCK,,,
50044000,TEHAMA ST,START: 300-329 BLOCK,,,
50045000,LASKIE ST,END: 1-99 BLOCK,,,
50046000,VASSAR PL,END: 1-99 BLOCK,,,
50047000,SAINT FRANCIS PL,END: 1-99 BLOCK,,,
50051000,ELDRIDGE ST,END: 50-99 BLOCK,,,
50052000,ELDRIDGE ST,START: 1-49 BLOCK,,,
50053000,FARGO PL,END: 1-99 BLOCK,,,
50056000,HULBERT ALY,START: 1-99 BLOCK,,,
50057000,LANGTON ST,MID BLOCK,,,
50058000,OSCAR ALY,START: 1-99 BLOCK,,,
50059000,BOYD ST,END: 53-99 BLOCK,,,
50060000,BOYD ST,START: 1-52 BLOCK,,,
50061000,CLARENCE PL,START: 1-99 BLOCK,,,
50062000,CLEMENTINA ST,START: 600-649 BLOCK,,,
50063000,TULIP ALY,END: 1-99 BLOCK,,,
50064000,ZENO PL,END: 1-99 BLOCK,,,
50065000,I-80 EASTBOUND,I-80 E ON RAMP,,,
50066000,I-80 WESTBOUND,I-80 W OFF RAMP,,,
50067000,I-80 WESTBOUND,I-80 W OFF RAMP,,,
50068000,I-80 EASTBOUND,I-80 E ON RAMP,,,
50069000,I-80 W OFF RAMP,FREMONT ST,,,
50070000,I-80 WESTBOUND,I-80 W OFF RAMP,,,
50071000,I-80 EASTBOUND,I-80 E ON RAMP,,,
50072000,I-80 EASTBOUND,I-80 E OFF RAMP,,,
50073000,I-80 WESTBOUND,I-80 W ON RAMP,,,
50074000,I-80 EASTBOUND,I-80 E ON RAMP,,,
50075000,I-80 WESTBOUND,I-80 W OFF RAMP,,,
50077000,I-80 W ON RAMP,HARRISON ST,,,
50078000,I-80 E OFF RAMP,7TH ST,,,
50079000,I-80 E OFF RAMP,7TH ST,,,
50080000,I-80 W OFF RAMP,8TH ST,,,
50081000,I-80 W OFF RAMP,8TH ST,,,
50082000,I-80 EASTBOUND,I-80 E OFF RAMP,,,
50083000,I-80 E ON RAMP,BRYANT ST,,,
50084000,I-80 WESTBOUND,I-80 W ON RAMP,,,
50085000,I-80 TO HWY 101 RAMP,HWY 101 TO I-80 RAMP,I-80 EASTBOUND,,
50086000,I-80 WESTBOUND,I-80 TO HWY 101 RAMP,,,
50087000,I-80 W OFF RAMP,I-80 W OFF RAMP,,,
50088000,CHESLEY ST,END: 300-399 BLOCK,,,
50089000,HAYWARD ST,END: 1-99 BLOCK,,,
50090000,HAYWARD ST,START: 1-99 BLOCK,,,
50091000,DELANCEY ST,END: 600-699 BLOCK,,,
50092000,I-80 E OFF RAMP,I-80 E OFF RAMP,,,
50093000,ANTHONY ST,END: 30-60 BLOCK,,,
50100000,I-280 SOUTHBOUND,I-280 S ON RAMP,,,
