CNN,street1,street2,street3,street4
12763000,TWIN PEAKS BLVD,BIGLER AVE,CLARENDON AVE,
26260000,TWIN PEAKS BLVD,BIGLER AVE,CLARENDON AVE,
12759000,TWIN PEAKS BLVD,CARMEL ST,CLAYTON ST,
26199000,TWIN PEAKS BLVD,CARMEL ST,CLAYTON ST,
11959201,SLOAT BLVD,34TH AVE,CLEARFIELD DR,
11959101,SLOAT BLVD,34TH AVE,CLEARFIELD DR,
23338000,SLOAT BLVD,34TH AVE,CLEARFIELD DR,
32832000,SEAL ROCK DR,45TH AVE,CLEMENT ST,
27919000,VETERANS DR,42ND AVE,CLEMENT ST,
27920000,VETERANS DR,43RD AVE,CLEMENT ST,
27859000,LEGION OF HONOR DR,34TH AVE,CLEMENT ST,
19766000,VETERANS DR,43RD AVE,CLEMENT ST,
11730000,SEAL ROCK DR,45TH AVE,CLEMENT ST,
22325000,GRAND VIEW AVE,CLIPPER ST,CLIPPER TER,
12460000,TAYLOR ST,CHESTNUT ST,COLUMBUS AVE,
25468000,TAYLOR ST,CHESTNUT ST,COLUMBUS AVE,
33636000,JUSTIN DR,ALEMANY BLVD,CONGDON ST,
22267000,ELK ST,BOSWORTH ST,CONGO ST,
27192000,CONSERVATORY DR EAST,ARGUELLO BLVD,CONSERVATORY DR,
27192000,CONSERVATORY DR WEST,ARGUELLO BLVD,CONSERVATORY DR,
4357000,CONSERVATORY DR WEST,ARGUELLO BLVD,CONSERVATORY DR,
4941000,DOUGLASS ST,17TH ST,CORBETT AVE,
26162000,DOUGLASS ST,17TH ST,CORBETT AVE,
26117000,HOPKINS AVE,ARGENT ALY,CORBETT AVE,
27593000,CALIFORNIA ST,07TH AVE,CORNWALL ST,
351000,07TH AVE,CALIFORNIA ST,CORNWALL ST,
3583000,CALIFORNIA ST,07TH AVE,CORNWALL ST,
27593000,07TH AVE,CALIFORNIA ST,CORNWALL ST,
13677000,WINFIELD ST,AZTEC ST,COSO AVE,
21272000,STONEMAN ST,BONVIEW ST,COSO AVE,
21280000,WINFIELD ST,AZTEC ST,COSO AVE,
23328000,BROOKHAVEN LN,BERKSHIRE WAY,COUNTRY CLUB DR,
2939000,BERKSHIRE WAY,BROOKHAVEN LN,COUNTRY CLUB DR,
23328000,BERKSHIRE WAY,BROOKHAVEN LN,COUNTRY CLUB DR,
11110000,ROCKRIDGE DR,12TH AVE,CRAGMONT AVE,
27112000,ROCKRIDGE DR,12TH AVE,CRAGMONT AVE,
20569000,SALINAS AVE,BAY SHORE BLVD,CRANE ST,
20569000,HWY 101 S ON RAMP,BAY SHORE BLVD,CRANE ST,
19249000,HWY 101 S ON RAMP,BAY SHORE BLVD,CRANE ST,
9147201,MISSION ST,COLLEGE AVE,CRESCENT AVE,
21820000,MISSION ST,COLLEGE AVE,CRESCENT AVE,
9147101,MISSION ST,COLLEGE AVE,CRESCENT AVE,
54114000,UNNAMED 193,CRESCENT CT,CRESCENT WAY,
32989000,BAXTER ALY,CASITAS AVE,CRESTA VISTA DR,
3766000,CASITAS AVE,BAXTER ALY,CRESTA VISTA DR,
32989000,CASITAS AVE,BAXTER ALY,CRESTA VISTA DR,
2770000,BAXTER ALY,CASITAS AVE,CRESTA VISTA DR,
11953101,SLOAT BLVD,23RD AVE,CRESTLAKE DR,
23342000,WAWONA ST,34TH AVE,CRESTLAKE DR,
11953201,SLOAT BLVD,23RD AVE,CRESTLAKE DR,
23166000,SLOAT BLVD,23RD AVE,CRESTLAKE DR,
13487000,WAWONA ST,34TH AVE,CRESTLAKE DR,
6220000,GLENHAVEN LN,CHRISTOPHER DR,CRESTMONT DR,
27036000,GLENHAVEN LN,CHRISTOPHER DR,CRESTMONT DR,
32879000,NORIEGA ST,15TH AVE,CRESTWELL WALK,
8357201,LINCOLN WAY,19TH AVE,CROSSOVER DR,
27519000,FULTON ST,25TH AVE,CROSSOVER DR,
27374000,LINCOLN WAY,19TH AVE,CROSSOVER DR,
8357101,LINCOLN WAY,19TH AVE,CROSSOVER DR,
5932000,FULTON ST,25TH AVE,CROSSOVER DR,
10884000,RACCOON DR,CROWN CT,CROWN TER,
26132000,RACCOON DR,CROWN CT,CROWN TER,
10198000,PALMETTO AVE,ALEMANY BLVD,CRYSTAL ST,
22480000,PALMETTO AVE,ALEMANY BLVD,CRYSTAL ST,
4374000,PORTOLA DR,CORBETT AVE,CUESTA CT,
32984000,PORTOLA DR,CORBETT AVE,CUESTA CT,
8748101,MARKET ST,05TH ST,CYRIL MAGNIN ST,
8748201,MARKET ST,05TH ST,CYRIL MAGNIN ST,
30739000,MARKET ST,05TH ST,CYRIL MAGNIN ST,
23627000,TEXAS ST,25TH ST,DAKOTA ST,
7360000,JACKSON ST,DAVIS CT,DAVIS ST,
8740101,MARKET ST,BEALE ST,DAVIS ST,
10453000,PINE ST,BEALE ST,DAVIS ST,
30729000,MARKET ST,BEALE ST,DAVIS ST,
30729000,PINE ST,BEALE ST,DAVIS ST,
24577000,JACKSON ST,DAVIS CT,DAVIS ST,
8740201,MARKET ST,BEALE ST,DAVIS ST,
3812000,CASTRO ST,29TH ST,DAY ST,
22004000,CASTRO ST,29TH ST,DAY ST,
1635000,29TH ST,CASTRO ST,DAY ST,
22004000,29TH ST,CASTRO ST,DAY ST,
22463000,GOETHE ST,CRYSTAL ST,DE LONG ST,
22463000,RHINE ST,CRYSTAL ST,DE LONG ST,
10989000,RHINE ST,CRYSTAL ST,DE LONG ST,
20200000,WHITNEY YOUNG CIR,CASHMERE ST,DEDMAN CT,
2868000,BEALE ST,BRYANT ST,DELANCEY ST,
3277000,BRYANT ST,BEALE ST,DELANCEY ST,
23599000,BEALE ST,BRYANT ST,DELANCEY ST,
23599000,BRYANT ST,BEALE ST,DELANCEY ST,
26213000,PIEDMONT ST,ASHBURY TER,DELMAR ST,
10416000,PIEDMONT ST,ASHBURY TER,DELMAR ST,
7687000,JUDSON AVE,CIRCULAR AVE,DETROIT ST,
22152000,PAULDING ST,CIRCULAR AVE,DETROIT ST,
22152000,JUDSON AVE,CIRCULAR AVE,DETROIT ST,
22882000,KENSINGTON WAY,CLAREMONT BLVD,DEWEY BLVD,TARAVAL ST
22882000,TARAVAL ST,CLAREMONT BLVD,DEWEY BLVD,MONTALVO AVE
12382000,TARAVAL ST,CLAREMONT BLVD,DEWEY BLVD,MONTALVO AVE
22882000,MONTALVO AVE,CLAREMONT BLVD,DEWEY BLVD,TARAVAL ST
10612101,PORTOLA DR,BURNETT AVE,DIAMOND HEIGHTS BLVD,
10612201,PORTOLA DR,BURNETT AVE,DIAMOND HEIGHTS BLVD,
22341000,PORTOLA DR,BURNETT AVE,DIAMOND HEIGHTS BLVD,
21990000,GOLD MINE DR,ADDISON ST,DIAMOND HEIGHTS BLVD,
26011000,WALLER ST,CASTRO ST,DIVISADERO ST,
13368000,WALLER ST,CASTRO ST,DIVISADERO ST,
24190000,BRANNAN ST,10TH ST,DIVISION ST,
24190000,10TH ST,BRANNAN ST,DIVISION ST,
6375000,GRAND VIEW AVE,ALVARADO ST,DIXIE ALY,
26100000,GRAND VIEW AVE,ALVARADO ST,DIXIE ALY,
26162000,CORBETT AVE,17TH ST,DOUGLASS ST,
26090000,ROMAIN ST,21ST ST,DOUGLASS ST,
4377000,CORBETT AVE,17TH ST,DOUGLASS ST,
26162000,17TH ST,CORBETT AVE,DOUGLASS ST,
11130000,ROMAIN ST,21ST ST,DOUGLASS ST,
815000,17TH ST,CORBETT AVE,DOUGLASS ST,
8762201,MARKET ST,BUCHANAN ST,DUBOCE AVE,
8762101,MARKET ST,BUCHANAN ST,DUBOCE AVE,
33027000,HWY 101 NORTHBOUND RAMP,13TH ST,DUBOCE AVE,OTIS ST
3359000,BUENA VISTA TER,BUENA VISTA AVE,DUBOCE AVE,
9112201,MISSION ST,13TH ST,DUBOCE AVE,OTIS ST
33027000,OTIS ST,13TH ST,DUBOCE AVE,MISSION ST
30758000,MARKET ST,BUCHANAN ST,DUBOCE AVE,
9112101,MISSION ST,13TH ST,DUBOCE AVE,OTIS ST
26021000,BUENA VISTA TER,BUENA VISTA AVE,DUBOCE AVE,
33027000,MISSION ST,13TH ST,DUBOCE AVE,OTIS ST
22320000,RED ROCK WAY,AMBER DR,DUNCAN ST,
54209000,WEST CRYSTAL COVE TER,CANDLESTICK COVE WAY,EAST CRYSTAL COVE TER,
2809000,BAY SHORE BLVD,BACON ST,EGBERT AVE,
33158000,BACON ST,BAY SHORE BLVD,EGBERT AVE,
33158000,BAY SHORE BLVD,BACON ST,EGBERT AVE,
2579000,BACON ST,BAY SHORE BLVD,EGBERT AVE,
28013000,POINT LOBOS AVE,48TH AVE,EL CAMINO DEL MAR,
10543000,POINT LOBOS AVE,48TH AVE,EL CAMINO DEL MAR,
22267000,BOSWORTH ST,CONGO ST,ELK ST,
22278000,SUSSEX ST,DIAMOND HEIGHTS BLVD,ELK ST,
22267000,CONGO ST,BOSWORTH ST,ELK ST,
3031101,BOSWORTH ST,CONGO ST,ELK ST,
3031201,BOSWORTH ST,CONGO ST,ELK ST,
12194000,STOCKTON ST,04TH ST,ELLIS ST,
24892000,STOCKTON ST,04TH ST,ELLIS ST,
24892000,MARKET ST,04TH ST,ELLIS ST,
8747102,MARKET ST,04TH ST,ELLIS ST,
8747202,MARKET ST,04TH ST,ELLIS ST,
19331000,I-280 S ON RAMP,ALEMANY BLVD,ELLSWORTH ST,
20996000,I-280 S OFF RAMP,ALEMANY BLVD,ELLSWORTH ST,
20996000,I-280 S ON RAMP,ALEMANY BLVD,ELLSWORTH ST,
22389000,LOS PALMOS DR,BURLWOOD DR,EMIL LN,
8498000,LOS PALMOS DR,BURLWOOD DR,EMIL LN,
21105000,PERALTA AVE,BRADFORD ST,ESMERALDA AVE,
21111000,WALTHAM ST,ALABAMA ST,ESMERALDA AVE,
10349000,PERALTA AVE,BRADFORD ST,ESMERALDA AVE,
5788000,FRANCONIA ST,BREWSTER ST,ESMERALDA AVE,
28083000,FRANCONIA ST,BREWSTER ST,ESMERALDA AVE,
10768000,PRESIDIO AVE,BUSH ST,EUCLID AVE,
26840000,PRESIDIO AVE,BUSH ST,EUCLID AVE,
21308000,VIRGINIA AVE,ELSIE ST,EUGENIA AVE,
2920000,BENNINGTON ST,BOCANA ST,EUGENIA AVE,
21225000,BENNINGTON ST,BOCANA ST,EUGENIA AVE,
21225000,BOCANA ST,BENNINGTON ST,EUGENIA AVE,
3005000,BOCANA ST,BENNINGTON ST,EUGENIA AVE,
51696000,FITCH ST,ARELIOUS WALKER DR,EVANS AVE,
11957201,SLOAT BLVD,CONSTANSO WAY,EVERGLADE DR,
11957101,SLOAT BLVD,CONSTANSO WAY,EVERGLADE DR,
23335000,SLOAT BLVD,CONSTANSO WAY,EVERGLADE DR,
23189000,QUINTARA ST,15TH AVE,FANNING WAY,
10851000,QUINTARA ST,15TH AVE,FANNING WAY,
21593000,SAN JOSE AVE,BROAD ST,FARRAGUT AVE,
11467101,SAN JOSE AVE,BROAD ST,FARRAGUT AVE,
11467201,SAN JOSE AVE,BROAD ST,FARRAGUT AVE,
22656000,SOUTHWOOD DR,ELMWOOD WAY,FAXON AVE,
8754101,MARKET ST,10TH ST,FELL ST,
12086000,STANYAN ST,FELL ACCESS RD,FELL ST,
10546000,POLK ST,10TH ST,FELL ST,
8754201,MARKET ST,10TH ST,FELL ST,
30746000,MARKET ST,10TH ST,FELL ST,
26445000,STANYAN ST,FELL ACCESS RD,FELL ST,
30746000,POLK ST,10TH ST,FELL ST,
10383000,PERU AVE,AVALON AVE,FELTON ST,
21611000,PERU AVE,AVALON AVE,FELTON ST,
22682000,UNNAMED 040,BRENTWOOD AVE,FERNWOOD DR,
22682000,ROSEWOOD DR,BRENTWOOD AVE,FERNWOOD DR,
6573000,VIA BUFANO,COLUMBUS AVE,FILBERT ST,
